City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Rikitea,PF,76.8,broken clouds,-23.1203,-134.9692,Chez Bianca & Benoit
2,Huarmey,PE,78.91,overcast clouds,-10.0681,-78.1522,Hostal Santa Rosa
13,Odweyne,SO,84.83,overcast clouds,9.4092,45.064,فندق المدينه
15,Pimenta Bueno,BR,73.85,overcast clouds,-11.6725,-61.1936,Cristalina palace hotel
17,Akyab,MM,84.27,clear sky,20.15,92.9,Yuzana Aung Motel 1
22,Kahului,US,73.85,clear sky,20.8947,-156.47,Maui Seaside Hotel
29,Puerto Ayora,EC,80.56,light rain,-0.7393,-90.3518,Hostal La Mirada De Solitario George
34,Chuy,UY,72.64,overcast clouds,-33.6971,-53.4616,Alerces
39,Saint-Philippe,RE,81.99,light rain,-21.3585,55.7679,Le Baril
40,Necochea,AR,70.56,clear sky,-38.5473,-58.7368,Cabañas Río Quequén
47,Bengkulu,ID,78.08,overcast clouds,-3.8004,102.2655,Dena Hotel
48,Maputo,MZ,83.88,clear sky,-25.9653,32.5892,Mozaika
56,La Ligua,CL,73.4,scattered clouds,-32.4524,-71.2311,Hotel Anchimallen
68,Port Elizabeth,ZA,76.1,few clouds,-33.918,25.5701,Waterford Hotel
74,Atuona,PF,80.26,broken clouds,-9.8,-139.0333,Pearl Resort
77,Mabaruma,GY,85.71,broken clouds,8.2,-59.7833,Monty Brooms Hotel
85,Nueva Gerona,CU,80.28,few clouds,21.8833,-82.8,Hotel Bamboo
91,Marsh Harbour,BS,75.27,scattered clouds,26.5412,-77.0636,Lofty Fig Villas
92,Souillac,MU,80.98,scattered clouds,-20.5167,57.5167,Hotel SkylineInn
95,Anloga,GH,84.92,overcast clouds,5.7947,0.8973,Hotel de White House
98,Beruwala,LK,80.49,light rain,6.4788,79.9828,Villa@113
100,Vryburg,ZA,86.68,scattered clouds,-26.9566,24.7284,International Hotel
103,Mar Del Plata,AR,71.94,clear sky,-38.0023,-57.5575,Nuevo Ostende
105,Riyadh,SA,86.14,moderate rain,24.6877,46.7219,White Palace Hotel
110,Victoria,HK,74.19,scattered clouds,22.2855,114.1577,四季酒店 Four Seasons Hotel
114,Bathsheba,BB,84.81,light rain,13.2167,-59.5167,Atlantis Hotel
